Sample,totalMOTU,Method
MEMB.nem.85,69,VSearch
MEMB.nem.86,170,VSearch
MEMB.nem.87,203,VSearch
MEMB.nem.88,116,VSearch
MEMB.nem.91,262,VSearch
MEMB.nem.94,239,VSearch
MEMB.nem.97,45,VSearch
MEMB.nem.103,69,VSearch
MEMB.nem.136,39,VSearch
MEMB.nem.142,647,VSearch
MEMB.nem.143,230,VSearch
MEMB.nem.144,175,VSearch
MEMB.nem.145,942,VSearch
MEMB.nem.146,1215,VSearch
MEMB.nem.149,895,VSearch
MEMB.nem.151,162,VSearch
MEMB.nem.152,69,VSearch
MEMB.nem.154,808,VSearch
MEMB.nem.155,56,VSearch
MEMB.nem.157,377,VSearch
MEMB.nem.159,73,VSearch
MEMB.nem.160,88,VSearch
MEMB.nem.163,70,VSearch
MEMB.nem.164,185,VSearch
MEMB.nem.165,945,VSearch
MEMB.nem.166,156,VSearch
MEMB.nem.169,151,VSearch
MEMB.nem.172,298,VSearch
MEMB.nem.174,59,VSearch
MEMB.nem.175,107,VSearch
MEMB.nem.178,213,VSearch
MEMB.nem.187,423,VSearch
MEMB.nem.189,128,VSearch
MEMB.nem.191,573,VSearch
MEMB.nem.192,285,VSearch
MEMB.nem.193,36,VSearch
MEMB.nem.194,190,VSearch
MEMB.nem.195,389,VSearch
MEMB.nem.196,37,VSearch
MEMB.nem.200,36,VSearch
MEMB.nem.201,38,VSearch
MEMB.nem.206,206,VSearch
MEMB.nem.208,254,VSearch
MEMB.nem.212,112,VSearch
MEMB.nem.215,231,VSearch
MEMB.nem.217,456,VSearch
MEMB.nem.219,192,VSearch
MEMB.nem.220,48,VSearch
MEMB.nem.221,321,VSearch
MEMB.nem.222,42,VSearch
MEMB.nem.224,383,VSearch
MEMB.nem.225,42,VSearch
MEMB.nem.228,1035,VSearch
MEMB.nem.229,100,VSearch
MEMB.nem.232,394,VSearch
MEMB.nem.233,214,VSearch
MEMB.nem.234,23,VSearch
MEMB.nem.237,83,VSearch
MEMB.nem.238,61,VSearch
MEMB.nem.239,67,VSearch
MEMB.nem.240,98,VSearch
MEMB.nem.243,76,VSearch
MEMB.nem.244,61,VSearch
MEMB.nem.245,92,VSearch
MEMB.nem.246,451,VSearch
MEMB.nem.247,503,VSearch
MEMB.nem.249,344,VSearch
MEMB.nem.254,134,VSearch
MEMB.nem.256,48,VSearch
MEMB.nem.257,64,VSearch
MEMB.nem.258,149,VSearch
MEMB.nem.264,194,VSearch
MEMB.nem.265,227,VSearch
MEMB.nem.267,226,VSearch
MEMB.nem.271,58,VSearch
MEMB.nem.273,167,VSearch
MEMB.nem.277,422,VSearch
MEMB.nem.279,147,VSearch
MEMB.nem.280,241,VSearch
MEMB.nem.282,143,VSearch
MEMB.nem.283,43,VSearch
MEMB.nem.285,331,VSearch
MEMB.nem.286,237,VSearch
MEMB.nem.287,134,VSearch
MEMB.nem.288,140,VSearch
MEMB.nem.290,197,VSearch
MEMB.nem.291,226,VSearch
MEMB.nem.18,12,DADA2
MEMB.nem.19,6,DADA2
MEMB.nem.21,10,DADA2
MEMB.nem.22,91,DADA2
MEMB.nem.23,77,DADA2
MEMB.nem.25,2,DADA2
MEMB.nem.26,5,DADA2
MEMB.nem.27,3,DADA2
MEMB.nem.28,22,DADA2
MEMB.nem.30,13,DADA2
MEMB.nem.31,21,DADA2
MEMB.nem.32,5,DADA2
MEMB.nem.33,4,DADA2
MEMB.nem.35,8,DADA2
MEMB.nem.37,20,DADA2
MEMB.nem.39,8,DADA2
MEMB.nem.40,8,DADA2
MEMB.nem.41,8,DADA2
MEMB.nem.43,24,DADA2
MEMB.nem.44,45,DADA2
MEMB.nem.45,15,DADA2
MEMB.nem.46,14,DADA2
MEMB.nem.47,9,DADA2
MEMB.nem.48,12,DADA2
MEMB.nem.49,19,DADA2
MEMB.nem.50,11,DADA2
MEMB.nem.51,6,DADA2
MEMB.nem.52,9,DADA2
MEMB.nem.54,29,DADA2
MEMB.nem.55,13,DADA2
MEMB.nem.64,25,DADA2
MEMB.nem.65,11,DADA2
MEMB.nem.66,15,DADA2
MEMB.nem.67,2,DADA2
MEMB.nem.68,8,DADA2
MEMB.nem.69,8,DADA2
MEMB.nem.70,2,DADA2
MEMB.nem.72,2,DADA2
MEMB.nem.73,4,DADA2
MEMB.nem.74,7,DADA2
MEMB.nem.75,11,DADA2
MEMB.nem.76,7,DADA2
MEMB.nem.78,3,DADA2
MEMB.nem.79,3,DADA2
MEMB.nem.81,10,DADA2
MEMB.nem.84,6,DADA2
MEMB.nem.85,10,DADA2
MEMB.nem.86,18,DADA2
MEMB.nem.87,18,DADA2
MEMB.nem.88,7,DADA2
MEMB.nem.91,3,DADA2
MEMB.nem.94,13,DADA2
MEMB.nem.97,7,DADA2
MEMB.nem.103,13,DADA2
MEMB.nem.136,7,DADA2
MEMB.nem.142,6,DADA2
MEMB.nem.143,11,DADA2
MEMB.nem.144,3,DADA2
MEMB.nem.145,8,DADA2
MEMB.nem.146,11,DADA2
MEMB.nem.149,6,DADA2
MEMB.nem.151,6,DADA2
MEMB.nem.152,8,DADA2
MEMB.nem.154,15,DADA2
MEMB.nem.155,2,DADA2
MEMB.nem.157,28,DADA2
MEMB.nem.159,4,DADA2
MEMB.nem.160,2,DADA2
MEMB.nem.163,6,DADA2
MEMB.nem.164,5,DADA2
MEMB.nem.165,6,DADA2
MEMB.nem.166,7,DADA2
MEMB.nem.169,5,DADA2
MEMB.nem.172,5,DADA2
MEMB.nem.174,5,DADA2
MEMB.nem.175,16,DADA2
MEMB.nem.178,15,DADA2
MEMB.nem.187,13,DADA2
MEMB.nem.189,12,DADA2
MEMB.nem.191,23,DADA2
MEMB.nem.192,10,DADA2
MEMB.nem.193,6,DADA2
MEMB.nem.194,15,DADA2
MEMB.nem.195,13,DADA2
MEMB.nem.196,4,DADA2
MEMB.nem.200,5,DADA2
MEMB.nem.201,12,DADA2
MEMB.nem.206,5,DADA2
MEMB.nem.208,4,DADA2
MEMB.nem.212,19,DADA2
MEMB.nem.215,6,DADA2
MEMB.nem.217,14,DADA2
MEMB.nem.219,9,DADA2
MEMB.nem.220,11,DADA2
MEMB.nem.221,11,DADA2
MEMB.nem.222,5,DADA2
MEMB.nem.224,14,DADA2
MEMB.nem.225,4,DADA2
MEMB.nem.228,9,DADA2
MEMB.nem.229,5,DADA2
MEMB.nem.232,22,DADA2
MEMB.nem.233,7,DADA2
MEMB.nem.234,2,DADA2
MEMB.nem.237,2,DADA2
MEMB.nem.238,2,DADA2
MEMB.nem.239,8,DADA2
MEMB.nem.240,2,DADA2
MEMB.nem.243,4,DADA2
MEMB.nem.244,4,DADA2
MEMB.nem.245,8,DADA2
MEMB.nem.246,4,DADA2
MEMB.nem.247,26,DADA2
MEMB.nem.249,15,DADA2
MEMB.nem.254,18,DADA2
MEMB.nem.256,11,DADA2
MEMB.nem.257,7,DADA2
MEMB.nem.258,8,DADA2
MEMB.nem.264,5,DADA2
MEMB.nem.265,3,DADA2
MEMB.nem.267,4,DADA2
MEMB.nem.271,6,DADA2
MEMB.nem.273,16,DADA2
MEMB.nem.277,28,DADA2
MEMB.nem.279,15,DADA2
MEMB.nem.280,10,DADA2
MEMB.nem.282,9,DADA2
MEMB.nem.283,6,DADA2
