OTU	Sample	Abundance	X.SampleID	BarcodeSequence	LinkerPrimerSequence	ReverseBarcode	ReversePrimerSequence	X18S_primer_mix	forward_primer	reverse_primer	primer_combo	final_qubit	normalized_sample_volume	TubeLabel	Year	Cruise	Subregion	Region	Transect	Sampling_gear	Sieve_size	Core_depth	Station	Depth	Latitude	Longitude	ChlA	Phaeo	CP_ratio	Porosity_pct_wt_wt	pct_gravel	pct_sand	pct_mud	pct_silt	pct_clay	Mean_Phi	d15N	d13C	CN_ratio	TOC	water_temp	water_salinity	Description	merge	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Method
New.CleanUp.ReferenceOTU747896	one	0.4769550519203018	64	10.401574803149606	1	11.755905511811024	1	59.77165354330709	14.858267716535433	11.89763779527559	61.07874015748032	10.212307086614173	1.7639911259055119	57.93700787401575	2013.267716535433	1.8031496062992125	4.086614173228346	1.2519685039370079	15.866141732283465	1.952755905511811	1.0236220472440944	1.2992125984251968	36.74803149606299	163.96220472440945	70.84920732283464	-141.81486003937007	50.62992125984252	50.45669291338583	40.38582677165354	41.36220472440945	21.007874015748033	44.874015748031496	44.04724409448819	28.62204724409449	28.590551181102363	29.385826771653544	5.720551181102362	-22.96692913385827	9.1503937007874	15.241771653543307	-0.35078740157480315	33.20826771653543	62.031496062992126	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Annelida	UCLUST
New.CleanUp.ReferenceOTU158606	one	0.18677487513115346	64	10.401574803149606	1	11.755905511811024	1	59.77165354330709	14.858267716535433	11.89763779527559	61.07874015748032	10.212307086614173	1.7639911259055119	57.93700787401575	2013.267716535433	1.8031496062992125	4.086614173228346	1.2519685039370079	15.866141732283465	1.952755905511811	1.0236220472440944	1.2992125984251968	36.74803149606299	163.96220472440945	70.84920732283464	-141.81486003937007	50.62992125984252	50.45669291338583	40.38582677165354	41.36220472440945	21.007874015748033	44.874015748031496	44.04724409448819	28.62204724409449	28.590551181102363	29.385826771653544	5.720551181102362	-22.96692913385827	9.1503937007874	15.241771653543307	-0.35078740157480315	33.20826771653543	62.031496062992126	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Nematoda	UCLUST
New.CleanUp.ReferenceOTU385327	one	0.07063315277117763	64	10.401574803149606	1	11.755905511811024	1	59.77165354330709	14.858267716535433	11.89763779527559	61.07874015748032	10.212307086614173	1.7639911259055119	57.93700787401575	2013.267716535433	1.8031496062992125	4.086614173228346	1.2519685039370079	15.866141732283465	1.952755905511811	1.0236220472440944	1.2992125984251968	36.74803149606299	163.96220472440945	70.84920732283464	-141.81486003937007	50.62992125984252	50.45669291338583	40.38582677165354	41.36220472440945	21.007874015748033	44.874015748031496	44.04724409448819	28.62204724409449	28.590551181102363	29.385826771653544	5.720551181102362	-22.96692913385827	9.1503937007874	15.241771653543307	-0.35078740157480315	33.20826771653543	62.031496062992126	1	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata	D_4__Dinophyceae	D_5__Peridiniphycidae	D_6__Gonyaulacales	UCLUST
New.CleanUp.ReferenceOTU701104	one	0.05724323328814238	64	10.401574803149606	1	11.755905511811024	1	59.77165354330709	14.858267716535433	11.89763779527559	61.07874015748032	10.212307086614173	1.7639911259055119	57.93700787401575	2013.267716535433	1.8031496062992125	4.086614173228346	1.2519685039370079	15.866141732283465	1.952755905511811	1.0236220472440944	1.2992125984251968	36.74803149606299	163.96220472440945	70.84920732283464	-141.81486003937007	50.62992125984252	50.45669291338583	40.38582677165354	41.36220472440945	21.007874015748033	44.874015748031496	44.04724409448819	28.62204724409449	28.590551181102363	29.385826771653544	5.720551181102362	-22.96692913385827	9.1503937007874	15.241771653543307	-0.35078740157480315	33.20826771653543	62.031496062992126	1	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_4__Diatomea	D_5__Bacillariophytina	D_6__Mediophyceae	UCLUST
New.CleanUp.ReferenceOTU338315	one	0.0347538179855501	64	10.401574803149606	1	11.755905511811024	1	59.77165354330709	14.858267716535433	11.89763779527559	61.07874015748032	10.212307086614173	1.7639911259055119	57.93700787401575	2013.267716535433	1.8031496062992125	4.086614173228346	1.2519685039370079	15.866141732283465	1.952755905511811	1.0236220472440944	1.2992125984251968	36.74803149606299	163.96220472440945	70.84920732283464	-141.81486003937007	50.62992125984252	50.45669291338583	40.38582677165354	41.36220472440945	21.007874015748033	44.874015748031496	44.04724409448819	28.62204724409449	28.590551181102363	29.385826771653544	5.720551181102362	-22.96692913385827	9.1503937007874	15.241771653543307	-0.35078740157480315	33.20826771653543	62.031496062992126	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Arthropoda	UCLUST
New.CleanUp.ReferenceOTU911305	one	0.03141658841709118	64	10.401574803149606	1	11.755905511811024	1	59.77165354330709	14.858267716535433	11.89763779527559	61.07874015748032	10.212307086614173	1.7639911259055119	57.93700787401575	2013.267716535433	1.8031496062992125	4.086614173228346	1.2519685039370079	15.866141732283465	1.952755905511811	1.0236220472440944	1.2992125984251968	36.74803149606299	163.96220472440945	70.84920732283464	-141.81486003937007	50.62992125984252	50.45669291338583	40.38582677165354	41.36220472440945	21.007874015748033	44.874015748031496	44.04724409448819	28.62204724409449	28.590551181102363	29.385826771653544	5.720551181102362	-22.96692913385827	9.1503937007874	15.241771653543307	-0.35078740157480315	33.20826771653543	62.031496062992126	1	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_4__Diatomea	D_5__Bacillariophytina	D_6__Bacillariophyceae	UCLUST
New.CleanUp.ReferenceOTU135575	one	0.015707832104753384	64	10.401574803149606	1	11.755905511811024	1	59.77165354330709	14.858267716535433	11.89763779527559	61.07874015748032	10.212307086614173	1.7639911259055119	57.93700787401575	2013.267716535433	1.8031496062992125	4.086614173228346	1.2519685039370079	15.866141732283465	1.952755905511811	1.0236220472440944	1.2992125984251968	36.74803149606299	163.96220472440945	70.84920732283464	-141.81486003937007	50.62992125984252	50.45669291338583	40.38582677165354	41.36220472440945	21.007874015748033	44.874015748031496	44.04724409448819	28.62204724409449	28.590551181102363	29.385826771653544	5.720551181102362	-22.96692913385827	9.1503937007874	15.241771653543307	-0.35078740157480315	33.20826771653543	62.031496062992126	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Nemertea	UCLUST
New.CleanUp.ReferenceOTU184039	one	0.006931220807643163	64	10.401574803149606	1	11.755905511811024	1	59.77165354330709	14.858267716535433	11.89763779527559	61.07874015748032	10.212307086614173	1.7639911259055119	57.93700787401575	2013.267716535433	1.8031496062992125	4.086614173228346	1.2519685039370079	15.866141732283465	1.952755905511811	1.0236220472440944	1.2992125984251968	36.74803149606299	163.96220472440945	70.84920732283464	-141.81486003937007	50.62992125984252	50.45669291338583	40.38582677165354	41.36220472440945	21.007874015748033	44.874015748031496	44.04724409448819	28.62204724409449	28.590551181102363	29.385826771653544	5.720551181102362	-22.96692913385827	9.1503937007874	15.241771653543307	-0.35078740157480315	33.20826771653543	62.031496062992126	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Hemichordata	UCLUST
New.ReferenceOTU106439	one	0.005988024958309836	64	10.401574803149606	1	11.755905511811024	1	59.77165354330709	14.858267716535433	11.89763779527559	61.07874015748032	10.212307086614173	1.7639911259055119	57.93700787401575	2013.267716535433	1.8031496062992125	4.086614173228346	1.2519685039370079	15.866141732283465	1.952755905511811	1.0236220472440944	1.2992125984251968	36.74803149606299	163.96220472440945	70.84920732283464	-141.81486003937007	50.62992125984252	50.45669291338583	40.38582677165354	41.36220472440945	21.007874015748033	44.874015748031496	44.04724409448819	28.62204724409449	28.590551181102363	29.385826771653544	5.720551181102362	-22.96692913385827	9.1503937007874	15.241771653543307	-0.35078740157480315	33.20826771653543	62.031496062992126	1	D_0__Eukaryota	D_1__SAR	D_2__Rhizaria	D_3__Cercozoa	D_4__Thecofilosea	D_5__Cryomonadida	D_6__Protaspidae	UCLUST
JN936459.1.1772	one	0.4701785092497238	64	10.401574803149606	1	11.755905511811024	1	59.77165354330709	14.858267716535433	11.89763779527559	61.07874015748032	10.212307086614173	1.7639911259055119	57.93700787401575	2013.267716535433	1.8031496062992125	4.086614173228346	1.2519685039370079	15.866141732283465	1.952755905511811	1.0236220472440944	1.2992125984251968	36.74803149606299	163.96220472440945	70.84920732283464	-141.81486003937007	50.62992125984252	50.45669291338583	40.38582677165354	41.36220472440945	21.007874015748033	44.874015748031496	44.04724409448819	28.62204724409449	28.590551181102363	29.385826771653544	5.720551181102362	-22.96692913385827	9.1503937007874	15.241771653543307	-0.35078740157480315	33.20826771653543	62.031496062992126	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Annelida	VSearch
